OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
0ae5531a9802e71139c959faebdde10c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Reyranellales	 Reyranellaceae	 Reyranella	
1533ba05ec0252bfd00a679ccbcaaff7	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 env.OPS_17	 env.OPS_17	 uncultured_Sphingobacteriia
2a555ce0495d9c8271df5fea627047bd	Eukaryota	 Basidiomycota	 Tremellomycetes	 Tremellales	 Bulleribasidiaceae	 Hannaella	
3d94b6160b087a8d906f9a4418cc5abd	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	 Botryosphaeria_dothidea
622da4e8b3fc340bb1b5b54d8b6ddfaf	Bacteria	 Bacteroidota	 Bacteroidia	 Bacteroidales	 Dysgonomonadaceae	 Dysgonomonas	
81ab0c88f3d09b179e4c9ff0a2453320	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	 Acetobacteraceae		
92f1720367db58c68a96eceb9feb416a	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	 Methylobacterium-Methylorubrum	
a56a4260b93ea25bcebc3804b4811d90	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	
2743823e7602e70cfa467627e69d2774	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Rhizobiaceae	 Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	
443deb749fb975dce673cd194200e67c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	
bb19d70f1ff60fbaec79a245bb2ed1b5	Bacteria	 Proteobacteria					
c23d9c4626abe211214430dea60e8505	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Pectobacteriaceae	 Pectobacterium	
f7a6cf546778df1da49e3f675e4e25b7	Bacteria	 Bacteroidota	 Bacteroidia	 Chitinophagales	 Chitinophagaceae		
09de3dde6c465b74bcb8e6f8a478e4e0	Bacteria	 Actinobacteriota	 Actinobacteria	 Corynebacteriales	 Nocardiaceae	 Rhodococcus	
1c3179ee0d8fa91c1d2f5ec05323c201	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Hymenobacteraceae	 Hymenobacter	 Hymenobacter_bucti
3354aca729b453e9c75fcf426962e927	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae		
3a7bcfd3dd1c23c2efae4b6b3fcd36a3	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Bradyrhizobium	
5e814148a3b624cf4fedfcbe6b574282	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Xanthomonadales	 Rhodanobacteraceae	 Dyella	
6bd194c1ca8d7cd75d362a1b5ef9f85c	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	
90049339fa1863fc439c61019f75449f	Bacteria	 Acidobacteriota	 Acidobacteriae	 Subgroup_2	 Subgroup_2	 Subgroup_2	
e48896c5b786628ea0941edadc38d14c	Bacteria	 Proteobacteria					
040609a61fea4adad2511bc9e845bd04	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	
06ad92b8571a601a6ba26f122d2b2a55	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Nitrosomonadaceae	 Ellin6067	
1fa19a198819b145e52bb266e4e7840b	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	
2606655cc236270d91a2efe6d02a7c32	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	 Acetobacteraceae	 Acidocella	
5a85851196cf28506943318a2b3d5114	Bacteria	 Firmicutes	 Bacilli	 Bacillales	 Bacillaceae	 Bacillus	
7643d4802718985a12687b716fdf5f13	Bacteria	 Myxococcota	 Myxococcia	 Myxococcales	 Myxococcaceae	 P3OB-42	 uncultured_bacterium
9dafb170f0fef4771a4ee1e3ea46ce5c	Bacteria	 Bacteroidota	 Bacteroidia	 Sphingobacteriales	 Sphingobacteriaceae	 Mucilaginibacter	
a452f9e284085dc75573413044cac060	Unassigned						
b63edd27d66cb22a08a048ce4e488c09	Bacteria	 Acidobacteriota	 Holophagae	 Holophagales	 Holophagaceae	 uncultured	
dab51b55d73211eac950c51ddaf10e14	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
dc29bfefce2f736c1b433d672598ac18	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rickettsiales	 Mitochondria	 Mitochondria	
2f23ba04e29d4f4fe40a157cc74d49b8	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Acetobacterales	 Acetobacteraceae	 Acidiphilium	
46e93aaaff5bdb7a2de784dd1384471b	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	
6f84e151868bb00a607df4e581ae8cb7	Unassigned						
79e52e97dc33d94bee90252851797be6	Bacteria	 Bacteroidota	 Bacteroidia	 Cytophagales	 Hymenobacteraceae	 Hymenobacter	
86e3f13c7e7dfe75eb7f308835b054fe	Bacteria	 Cyanobacteria	 Cyanobacteriia	 Chloroplast	 Chloroplast	 Chloroplast	
95d7e9ed7841cba6a903805ceea06db4	Bacteria						
